Machine_ID,Temp_C,Vibration_mm_s,Pressure_Bar,Acoustic_dB,Inspection_Duration_min,Downtime_Cost_USD,Technician_Availability_pct,Failure_Prob,Maintenance_Priority
M002,84.03480709,3.944487489,5.622357288,65.90386615,123,2375,96,0.55,2
M006,58.81542166,1.089858995,5.121173639,57.2186686,133,720,95,0.34,3
M002,80.46779354,4.376173413,4.355897197,80.78670758,48,4801,88,0.59,1
M007,50.66097743,-0.073882115,4.833672591,86.15994063,58,4661,58,0.36,1
M006,87.10739539,1.111609859,5.231371358,52.8967189,101,1272,56,0.46,2
M006,72.31005493,1.610551251,5.732788192,83.2092683,38,604,88,0.46,2
M010,69.49308428,2.261393231,5.318584535,65.54932739,35,2278,64,0.47,2
M010,88.31478807,3.083954995,5.245936606,60.34396252,116,2875,99,0.51,2
M003,93.15372685,2.492484636,5.08449983,58.06502559,105,548,97,0.5,2
M008,83.29324824,2.43789067,4.600003453,58.22756253,135,1412,69,0.49,2
M009,78.24399972,1.930348566,4.859880308,96.83123217,84,1375,62,0.54,2
M004,62.33105528,1.760649381,4.615319476,67.3989755,90,3440,58,0.43,2
M003,64.18580371,3.560813686,4.505918326,61.73135444,92,2479,97,0.46,2
M010,70.13242991,2.822466901,5.86972786,75.73029336,65,3027,78,0.5,2
M007,70.85541898,1.895337933,5.617646257,68.20869574,139,2708,67,0.46,2
M009,59.42417214,2.960329873,4.453042885,69.1678313,116,856,66,0.47,2
M010,80.58740753,3.797421421,4.568482546,84.4602255,33,4074,56,0.61,1
M004,84.07494768,2.082220203,4.792245242,74.4249668,106,1696,95,0.49,2
M001,63.85252293,4.073060366,5.199133886,65.44155126,142,4778,63,0.52,1
M009,80.53833332,3.089139359,5.248044248,51.23006605,127,1133,80,0.49,2
M005,70.75800978,4.41240941,4.796161194,75.54368391,110,1908,65,0.57,2
M008,81.93878445,2.474597549,5.06043094,76.8442776,116,1895,79,0.52,2
M003,74.05246626,2.176762035,4.400431383,60.91252419,69,2424,78,0.45,2
M004,78.97701771,2.806120701,5.020618509,63.34596712,80,3323,50,0.53,2
M005,63.7693944,2.341064265,5.80225379,73.49041145,99,2376,88,0.44,2
M008,71.82219396,1.711163438,5.286225968,87.02644669,53,4882,67,0.49,1
M007,66.61310476,2.902722217,5.146740476,61.85892509,143,4034,99,0.44,1
M006,74.72841567,3.849325063,4.887808945,67.13731946,84,4630,98,0.51,1
M004,73.50012109,2.65460843,5.072946268,90.14230474,105,1983,51,0.56,2
M007,82.14086113,2.878347196,5.032186285,64.65425238,110,4922,51,0.54,1
M004,63.90354495,3.154105596,5.310617476,76.02037423,109,3904,95,0.47,2
M003,72.45100155,2.298179903,4.822526885,69.86381523,50,1092,96,0.45,2
M010,90.44526004,2.660978947,6.546320639,75.55132245,93,3556,63,0.57,2
M002,77.06843852,2.80562923,5.199824553,62.40747152,122,888,90,0.48,2
M006,83.65316902,2.37181453,5.312574432,70.41229251,46,2013,68,0.52,2
M001,87.56436342,1.996564441,4.36778754,65.1132111,55,1300,76,0.5,2
M003,56.07454015,2.50993102,5.209830122,79.07487586,82,3992,86,0.44,2
M007,81.36293168,1.878298444,5.184665511,59.80476586,30,1059,59,0.48,2
M010,68.164062,4.979389419,5.399696679,79.97265954,84,4345,50,0.61,1
M004,72.40394178,2.556628452,5.071251911,63.10214546,44,3494,80,0.47,2
M008,84.33783913,3.152121871,4.468413322,81.12867369,100,927,72,0.57,2
M009,73.13943495,3.268179564,4.0946012,82.49000208,142,2960,87,0.53,2
M008,73.02570461,4.202827006,4.996208556,80.4185061,115,3944,65,0.58,2
M010,83.24014831,2.117321562,4.188233308,64.84943977,63,3166,51,0.51,2
M002,61.76728977,3.50630483,5.329909143,63.58399501,57,4377,51,0.5,1
M004,82.73832744,1.686456246,4.310453803,62.88695167,137,4902,81,0.46,1
M009,86.24798645,1.074406685,5.886343634,68.29028845,126,4076,94,0.44,1
M007,91.89636998,3.091984685,5.059648353,76.39506513,134,904,76,0.58,2
M005,77.27653283,1.51835493,4.312468558,71.96278923,42,2156,89,0.45,2
M004,83.29473929,1.716477816,4.814942903,66.08368895,130,3311,88,0.46,2
M004,64.80438368,1.472063239,4.972774519,86.12438636,36,1193,55,0.47,2
M010,78.73058935,2.657447925,4.515361156,63.29016536,31,3791,63,0.51,2
M010,70.35608923,2.935674911,5.488657651,76.61369463,117,4679,58,0.52,1
M004,57.38136258,2.830166841,5.56055744,60.83487006,41,3154,81,0.43,2
M003,70.11018513,2.080136539,4.79826347,71.66781444,83,3183,83,0.45,2
M001,86.42160028,2.83411865,5.873777454,67.89911186,66,994,50,0.56,2
M006,83.57883106,2.789952441,5.527267882,77.02207612,85,3654,73,0.54,2
M007,88.83145001,3.959107157,4.223082907,55.96713403,36,824,70,0.57,2
M008,76.98289377,2.141153583,5.076774319,65.3177542,49,3614,92,0.46,2
M006,74.0623455,3.732524883,5.512958993,75.24200208,90,684,70,0.55,2
M005,88.06874096,1.770059054,6.421973698,62.28197971,55,4119,98,0.46,1
M002,75.67753573,1.830613947,4.923255984,80.64190311,51,2246,62,0.5,2
M002,76.51618827,1.387421698,5.26667278,77.3468512,44,4623,88,0.45,1
M004,83.61127669,3.1975866,4.889743458,74.34594169,117,2445,67,0.56,2
M007,94.76544274,2.797856094,4.920192087,69.14959694,85,1067,70,0.56,2
M003,68.92473658,2.438446662,5.395692753,35.33095843,124,3025,89,0.39,3
M009,89.20256932,2.560136978,4.706122224,70.57986385,77,3427,76,0.54,2
M004,72.39659509,0.564234453,5.414641957,61.03138219,67,1795,93,0.37,3
M010,84.7889354,1.111108446,5.051477208,67.99097494,141,3546,68,0.47,2
M002,78.2849537,4.545817288,4.808591508,80.6972929,113,2560,75,0.6,2
M002,71.30431147,2.442909554,4.724271346,71.03001616,91,4637,64,0.49,1
M007,74.62643159,2.760517422,5.170231223,75.54092107,135,4673,52,0.53,1
M003,78.16200076,3.935435786,4.862911243,73.0044606,138,803,54,0.58,2
M008,61.18890244,2.280519447,5.095496874,74.99685836,137,3720,90,0.43,2
M010,83.70576216,3.395008668,4.966520048,76.17240867,134,1093,63,0.58,2
M008,82.9293294,1.864708395,4.877930042,72.57194852,73,1924,72,0.5,2
M001,86.33546775,2.927097317,5.355757995,70.51626503,119,1192,80,0.54,2
M009,91.216001,3.419705293,4.957922105,84.69392063,36,2975,67,0.61,2
M010,76.0767987,1.221941521,5.646166607,62.44616423,37,4195,92,0.41,1
M001,96.28946556,2.12267849,5.065257807,84.86931772,148,2961,60,0.58,2
M009,80.33014079,2.857838349,4.835942333,66.36886139,54,1892,84,0.5,2
M004,78.0531978,2.488609592,5.331390943,78.9597266,92,520,87,0.5,2
M009,67.9610535,3.993582769,5.005172008,62.27225607,35,708,82,0.51,2
M001,74.27716522,3.27103892,4.343312567,70.66153375,140,2582,98,0.5,2
M009,91.73938418,4.160802402,5.019845879,95.97583403,121,3308,70,0.66,2
M001,80.86678209,4.577379996,5.003232094,64.39767907,146,631,72,0.58,2
M010,71.98744765,1.489954061,5.565905081,70.00999704,107,2555,86,0.43,2
M010,75.48674838,2.688467729,5.185403593,67.6087294,37,2804,61,0.51,2
M008,85.0305131,3.845803267,4.770042836,54.57274491,82,1221,93,0.53,2
M004,64.15466207,3.605631692,4.911353288,58.45550341,108,2048,96,0.46,2
M004,57.51618344,2.406319938,4.485737507,70.01870184,98,3947,53,0.46,2
M008,80.78117097,2.144951356,5.032310516,69.53655754,107,3786,59,0.51,2
M010,83.60096384,2.331906534,5.109173217,76.04759226,99,854,91,0.51,2
M004,77.19231668,1.343682888,4.413508074,63.68606352,42,4356,91,0.42,1
M008,57.50022126,3.809144387,4.677287748,67.78594439,75,4111,51,0.51,1
M009,70.36835134,1.503964872,5.608644867,78.42175565,64,3508,57,0.47,2
M003,78.65506735,3.30116402,5.377559622,65.4129213,54,1230,90,0.51,2
M001,80.23760217,2.378674721,4.993269273,80.86895613,116,4480,70,0.53,1
M005,69.59846612,2.07165476,4.095707021,85.03322499,126,512,83,0.48,2
M002,81.19037198,2.282716303,3.477035584,63.43044763,132,2145,99,0.46,2
M006,60.85047389,2.472284434,4.114401417,64.99323599,57,4285,68,0.44,1
M006,74.86615384,3.381071574,5.971094806,78.05640542,103,4770,69,0.55,1
M003,57.87560542,3.781392549,5.170433923,68.60481766,51,1985,98,0.46,2
M002,83.12957112,2.818105056,5.143396449,74.69408856,112,2021,73,0.54,2
M001,77.67406982,2.124623044,6.613065829,67.83446233,123,4494,72,0.48,1
M005,72.17819421,2.504813307,5.205697939,63.9521511,38,3175,54,0.49,2
M006,74.26931032,1.732579,4.556327186,79.39313439,48,4816,81,0.47,1
M005,78.1249168,2.970473656,5.190195527,57.63202318,130,3163,89,0.48,2
M004,83.99435041,2.588914326,5.307785461,87.94166987,68,4764,63,0.57,1
M008,86.95336118,0.763904241,4.424504718,66.15547943,37,1246,72,0.45,2
M009,83.73783041,2.830142616,4.805627587,62.75813734,73,3131,72,0.52,2
M008,69.17888406,3.631230092,5.126187105,83.26466782,110,2159,57,0.56,2
M010,99.34408633,3.296092706,5.132282631,59.64103095,88,3477,82,0.57,2
M008,69.83103137,3.148088365,5.430817331,61.03415587,50,2402,64,0.49,2
M009,74.25089155,3.548210269,4.935850503,76.11087352,124,4270,62,0.55,1
M006,73.76821785,2.575920534,5.085942417,56.88913938,93,3255,59,0.48,2
M005,60.22671959,1.852427004,5.328968146,65.90873592,45,2572,97,0.39,3
M007,80.58690966,3.449173706,4.952758843,77.6803152,34,3424,60,0.58,2
M002,71.82426801,3.458204917,4.598786403,74.21049651,122,803,66,0.54,2
M010,81.29248972,0.717295257,5.685449594,76.6386409,122,2989,79,0.45,2
M008,58.38720507,0.505054714,3.793503656,81.43148488,118,2348,99,0.36,3
M008,71.91450398,2.352699603,4.089926089,69.2918669,60,2576,75,0.47,2
M003,95.82348744,1.516877865,4.671442761,80.31217134,118,3371,75,0.53,2
M003,88.45406191,3.085490744,5.387892828,60.43230668,130,2123,68,0.54,2
M009,94.43603048,4.18049563,4.681460747,64.77325744,110,4327,92,0.59,1
M003,67.05573947,2.568862015,5.257097626,83.00645242,44,2007,83,0.49,2
M004,81.9423341,3.363879822,5.811318769,84.576812,37,2386,73,0.58,2
M006,70.57274948,2.190846189,5.054887193,88.80489228,68,1924,66,0.51,2
M006,77.54249204,2.603938834,5.533359415,69.2966155,44,2915,74,0.5,2
M009,99.557762,3.946194665,5.565575639,73.19160178,73,3269,61,0.64,2
M001,72.95969419,3.774989119,5.209049303,67.24993269,69,4631,86,0.52,1
M008,74.16398861,1.108053759,4.697840859,74.37347933,102,2824,70,0.45,2
M009,91.15958503,1.618566392,5.444585862,65.24996761,46,1444,84,0.48,2
M002,71.26834818,3.89662848,4.992434965,74.36529668,133,2810,95,0.52,2
M002,75.16885058,3.06907926,4.217187772,75.78191895,145,4211,85,0.51,1
M005,58.07881111,2.570248578,4.763650234,70.21752184,61,972,92,0.43,2
M001,91.06119492,3.339593546,5.417712236,83.82639146,59,2822,54,0.62,2
M010,86.96894952,1.939813475,4.93348906,78.55758768,136,3196,57,0.54,2
M006,76.07160228,2.476022698,4.715971856,45.369361,88,2275,89,0.43,2
M003,63.01815967,3.381123139,5.302060253,70.21173587,131,2008,78,0.49,2
M004,60.30920439,2.849812343,5.724175428,71.86460875,60,748,84,0.45,2
M002,86.59791245,2.011608269,5.313852379,77.96157399,77,2895,67,0.53,2
M009,75.4098679,1.500247199,5.111711821,85.08940264,48,779,96,0.46,2
M002,75.84782865,1.508339557,4.560249764,52.6587931,91,3082,96,0.4,3
M003,80.32030193,3.427407492,5.993335632,68.04974111,70,2203,64,0.55,2
M004,91.83546499,1.420537885,4.836180938,68.76233052,122,3106,91,0.48,2
M002,83.34085719,2.254150021,4.783999198,55.57783526,136,1217,54,0.5,2
M002,70.50836191,2.133498944,4.688936081,67.94010284,76,3747,68,0.46,2
M004,70.65889821,1.179176226,5.031338025,74.09479386,131,1609,73,0.43,2
M005,109.9587779,3.596700632,4.865969539,65.36855468,52,4314,74,0.63,1
M003,80.75779783,4.338768424,5.542066544,82.29258943,33,1363,97,0.58,2
M006,53.48770382,3.83175697,5.791688941,78.52216007,70,2447,56,0.51,2
M004,70.88579027,2.319215636,4.402341601,64.00682657,75,892,94,0.44,2
M008,76.29411258,5.184345742,4.309496346,53.22708732,142,3575,85,0.56,2
M006,79.32728599,2.56044279,4.642521575,66.25981583,116,3331,81,0.49,2
M001,71.63377273,1.123957736,4.815234577,85.79733078,76,2265,72,0.46,2
M001,73.88477942,3.437391149,5.358896748,75.01923158,102,2122,77,0.53,2
M001,61.23270297,3.365926618,5.121696903,62.9057516,77,2263,52,0.49,2
M001,86.94531875,4.535032701,5.175872863,60.56974808,75,2240,78,0.59,2
M009,92.20830297,1.560673262,5.108453222,56.3762048,80,3545,86,0.47,2
M008,52.86772652,2.254699459,5.434775553,77.7160711,123,2529,64,0.44,2
M007,90.96079736,1.479698453,4.565604126,69.33344524,62,2086,71,0.5,2
M010,77.81735064,1.255824887,5.349549795,66.44588609,52,4644,94,0.42,1
M003,66.88510322,1.094750809,4.963420202,88.08861378,100,1831,80,0.44,2
M008,86.35485016,2.21789998,5.89980938,83.08517156,33,520,71,0.54,2
M008,79.2147345,1.605062646,4.879680973,80.7897523,49,4939,60,0.5,1
M007,78.25431759,3.062368292,5.603911017,70.95796726,45,1291,57,0.54,2
M008,78.48272226,2.667139213,4.710592093,70.36114378,73,1465,82,0.5,2
M007,63.72495662,1.418252513,4.385838802,74.89054133,98,529,58,0.44,2
M008,88.85148925,1.513673236,5.021274129,82.59856191,76,2107,90,0.5,2
M004,69.427197,3.004712366,4.344062988,78.9439418,68,4715,63,0.52,1
M010,81.86566006,3.177146866,4.393537529,60.04352182,115,1163,70,0.52,2
M003,96.89750288,0.136031506,5.077649921,77.52922665,117,4813,93,0.46,1
M006,81.50281575,3.087137684,5.204152232,83.99696139,126,4503,78,0.56,1
M007,64.76772234,2.203103149,4.513629613,57.72797101,122,1948,98,0.4,3
M003,81.72060519,3.241639746,4.558894602,73.87735002,107,4483,85,0.54,1
M001,85.65347627,2.982694052,4.766285643,79.60377149,57,4068,94,0.54,1
M006,72.25771643,3.196730909,5.41460697,63.51810853,98,4264,87,0.48,1
M010,78.65300993,3.201849285,5.097961074,68.52901648,103,870,63,0.54,2
M001,75.69294061,3.009536295,4.557168869,67.73583269,138,1185,88,0.49,2
M003,72.63419649,2.693569399,4.57271191,64.18404777,140,3624,84,0.47,2
M009,71.48859306,2.68716402,5.026761399,63.66714815,132,1372,52,0.5,2
M005,63.98338085,1.671072387,4.522256751,61.19723046,64,2175,81,0.4,3
M007,75.87314974,2.320850242,5.339421935,71.08623501,55,4379,77,0.49,1
M004,49.84961547,2.062391743,5.337704559,67.56101837,116,2522,96,0.37,3
M004,96.91907355,2.702054616,4.09774341,61.2736647,82,1687,81,0.54,2
M010,82.31215493,3.202953792,5.530073853,86.08866279,120,2898,68,0.58,2
M002,71.65492494,3.249089844,4.828711464,81.58610367,35,566,58,0.55,2
M008,51.08278342,2.461286177,4.923627716,87.39659373,118,699,95,0.43,2
M010,92.21851163,2.543529811,5.3531942,86.41031834,84,4930,69,0.58,1
M004,63.01895937,1.545960864,5.065163371,84.58685643,47,4756,68,0.45,1
M009,84.48508204,3.01961446,4.503722193,55.45211149,76,1540,50,0.54,2
M001,89.44311584,1.496108921,4.409548274,76.75609962,38,4165,94,0.49,1
M007,74.38456726,4.383275767,4.736725345,87.31343189,127,4296,78,0.6,1
M007,82.60769642,2.4578103,5.227458868,66.65727317,128,1425,99,0.48,2
M002,101.9971414,1.200105721,4.831676698,50.15956097,42,1591,66,0.49,2
M003,81.88678024,4.525807092,4.145740748,58.93704564,130,4178,81,0.56,1
M002,61.62126509,1.406442854,4.751195817,74.8395452,76,4747,62,0.43,1
M002,89.57358558,2.143261437,4.823787872,80.81869516,133,4236,79,0.54,1
M010,64.36598354,1.686987878,5.280446361,59.17996405,147,4017,92,0.39,1
M005,83.5490038,2.792651387,4.541073784,76.89579214,98,2064,80,0.54,2
M010,94.14712306,1.840373699,4.830845967,56.78900319,106,562,72,0.5,2
M009,89.70320772,3.564482754,4.8673073,68.77214585,109,2174,81,0.57,2
M001,66.44669486,3.576922825,5.304292323,74.11557917,114,3843,59,0.53,2
M002,76.29064798,1.925453024,4.184362752,80.70098485,120,1626,79,0.49,2
M003,74.47980312,1.876423909,5.142466535,62.01973118,44,953,55,0.47,2
M010,76.32780698,3.222588502,5.313245201,60.87055484,109,1222,53,0.53,2
M005,82.27319847,3.677206798,4.71676475,64.01107263,133,2365,98,0.52,2
M001,60.90488683,1.102842002,4.781879115,80.57136769,109,4620,57,0.43,1
M005,69.39544902,1.49418733,4.836493157,69.79587857,139,1442,97,0.41,2
M007,58.43567135,3.712820985,4.599621224,67.76027664,89,1247,62,0.5,2
M006,69.0163219,2.460827629,4.674849995,56.91005885,62,4883,54,0.47,1
M009,71.51015303,0.829994526,5.37272252,72.08598599,48,2413,59,0.43,2
M010,53.70486926,4.018886581,4.901017122,76.80635002,40,2422,87,0.49,2
M001,80.36391372,0.007643797,5.191400599,60.93458935,148,3953,55,0.41,2
M004,78.42612398,1.368263281,5.048981632,59.62181646,104,1884,85,0.42,2
M010,68.97894647,2.63119009,4.775109198,60.64220284,31,3525,67,0.47,2
M005,61.73904941,1.49678581,5.515716339,73.00565473,91,2991,69,0.42,2
M003,78.12069598,2.245751869,5.805647883,56.94390314,52,3193,87,0.45,2
M007,66.40912058,1.68943529,5.569308536,72.94050397,59,1258,78,0.43,2
M009,73.33275967,2.237703988,5.121505929,74.27064656,138,3951,62,0.5,2
M002,75.44243854,0.661493168,4.911822332,53.56859735,103,3727,96,0.36,3
M005,76.3829869,2.316512757,4.542130665,75.89937632,90,4750,89,0.48,1
M007,68.95660928,1.621729926,4.997998429,60.21319269,107,4768,74,0.42,1
M009,72.78087547,3.719503569,4.995715856,94.25391589,64,2820,64,0.59,2
M006,79.95212953,3.774388087,5.142911745,72.90209118,106,4703,85,0.55,1
M006,71.97035545,1.542494717,4.136739494,59.55603438,138,3526,76,0.42,2
M001,81.6846813,1.742689486,4.877167362,76.44318494,86,2589,99,0.47,2
M007,100.1554621,2.543874964,5.569690507,55.13039919,34,2715,52,0.56,2
M007,87.74677339,3.955060582,4.630683903,75.23807363,91,2952,58,0.61,2
M006,73.97155837,1.653087672,5.376730726,64.31728214,137,4259,50,0.47,1
M004,79.35555848,3.442568549,4.243862204,79.91994827,72,997,58,0.58,2
M007,76.25154697,1.652570308,5.323633743,73.27871818,60,1752,57,0.48,2
M001,71.44916102,1.9683381,4.988711197,79.6829,92,4797,62,0.49,1
M007,79.27870677,1.633277025,5.207576992,78.70912048,80,1583,85,0.48,2
M008,75.27322761,3.502416459,4.244847623,56.76038753,87,4146,98,0.48,1
M001,76.33959907,2.031935998,6.13161642,62.65234305,149,4946,77,0.46,1
M005,76.48031758,1.991610629,4.206949171,50.22775155,110,3353,77,0.43,2
M005,75.8960816,3.071878066,5.353522947,68.23952504,113,2378,65,0.52,2
M002,81.77159712,2.348974046,4.361572112,68.20043298,31,4063,83,0.49,1
M002,72.63000829,1.702006598,5.490304177,59.24001324,92,892,90,0.41,2
M005,74.71909687,2.628934191,4.830562527,76.18088016,97,3013,67,0.51,2
M005,74.81696516,0.673071454,4.10413529,77.27451354,90,4514,52,0.45,1
M003,79.55689669,3.275767217,4.466671933,77.93604803,101,1399,63,0.56,2
M006,65.07641714,2.392847119,4.719238071,64.51578715,138,4405,66,0.45,1
M002,68.83394946,2.416018131,5.028594309,79.79767217,84,3418,50,0.51,2
M009,76.44250023,3.031990608,4.462847307,76.65808389,70,2107,56,0.55,2
M001,83.11940328,3.05139455,4.790003011,86.02910231,75,1716,59,0.58,2
M005,88.117839,-0.126786257,5.038367119,65.75930196,35,1638,80,0.41,2
M001,91.41526949,1.491337686,4.887839344,72.92347807,124,3475,69,0.51,2
M009,75.86859163,1.928625779,4.734318067,91.61224183,117,1105,96,0.49,2
M006,65.06621794,2.153346639,5.17944488,78.05628507,60,2098,54,0.48,2
M007,74.12784402,2.821550513,5.037014676,77.20080652,126,2897,50,0.54,2
M003,82.2269601,2.864250212,4.483827581,77.96832945,59,583,71,0.55,2
M005,72.92368947,2.960255864,4.977226522,69.90810966,147,1291,70,0.51,2
M006,69.38114336,0.922297908,4.538263792,81.30415508,84,2736,58,0.45,2
M001,77.31512739,2.071499995,5.459499379,73.17257725,146,4097,71,0.49,1
M005,83.75715862,2.369050778,5.149100139,61.0107601,31,3775,66,0.5,2
M001,59.06282985,1.28992928,5.147124156,37.47141204,93,2137,70,0.33,3
M007,65.34242584,2.607704148,4.813299489,61.03667186,52,4103,65,0.46,1
M008,55.30852714,2.74324457,4.844049008,75.31668784,75,1462,82,0.44,2
M004,59.87404499,1.434300283,5.251009635,70.49986035,36,1652,58,0.42,2
M007,80.49474792,3.153501952,4.017521021,79.00929234,115,3701,71,0.55,2
M008,80.83886294,1.007731213,4.553236758,64.68963049,120,545,56,0.46,2
M001,73.77653097,1.636040883,5.819395966,68.09354064,40,3354,55,0.47,2
M009,66.01186812,3.137338548,5.116003142,59.09211402,110,2556,62,0.48,2
M007,76.77755894,2.0832974,5.541481386,68.11787538,137,643,86,0.46,2
M010,86.14516284,2.055105653,5.148902941,66.90794486,66,2075,97,0.48,2
M006,69.32316227,2.387752533,5.450775628,65.90742545,116,4564,97,0.44,1
M003,71.75775181,2.081528969,4.4711989,72.73978869,46,2728,75,0.47,2
M005,77.91730377,0.640065138,4.933198031,56.59377141,41,2933,94,0.38,3
M009,59.5434986,2.39076757,4.221987361,71.01912086,118,1716,58,0.46,2
M005,73.82599141,3.027902649,4.878685606,60.97737112,36,874,54,0.51,2
M010,85.1086224,2.236254612,4.960236366,76.06019139,144,1860,60,0.54,2
M003,65.3047611,1.422125897,5.545411334,84.29458243,125,3839,60,0.46,2
M007,90.8322553,2.096810733,5.425668622,57.29691273,83,571,89,0.48,2
M008,70.67467738,2.08861017,4.549785387,64.07814038,53,2053,79,0.44,2
M009,63.10927134,2.924756181,3.670761784,76.76644068,139,3993,96,0.46,2
M008,66.00838373,3.077025827,4.916287899,67.62179382,50,1137,53,0.5,2
M009,76.57750781,3.28429977,5.705116258,62.53562928,121,4425,71,0.52,1
M004,82.68123835,3.394367887,6.175801027,69.42314397,47,595,76,0.55,2
M004,81.78299411,2.764644005,5.016862696,72.03787553,89,642,82,0.52,2
M004,67.51364686,3.435392054,5.32209493,62.72464298,57,3914,71,0.49,2
M003,79.04257195,3.038728976,4.663355441,77.12356493,88,4364,67,0.55,1
M007,86.60682496,3.662200789,4.479874867,57.46659104,82,3785,63,0.56,2
M009,72.06461158,3.75597292,5.1255533,70.49660334,135,1626,90,0.52,2
M003,66.14084004,2.840508093,4.790048499,70.32819285,54,2901,77,0.48,2
M003,91.89893457,2.94319866,5.54728791,66.80140266,115,3463,59,0.57,2
M002,79.90419572,1.717976135,4.532926143,90.66601378,82,4508,68,0.52,1
M009,83.16117436,1.960012364,5.128715038,79.04496641,144,4201,51,0.53,1
M010,68.89110108,4.060949799,4.621757167,64.93965296,111,3830,71,0.53,2
M008,87.43183437,2.677710445,5.704595514,63.89817891,63,2117,76,0.52,2
M007,66.4658596,2.948613103,4.644906525,62.1306845,73,2709,56,0.49,2
M010,72.04023157,4.158207373,4.535761985,65.38367598,41,4192,63,0.55,1
M007,78.15040489,2.859736764,5.130313929,71.83213048,46,4639,54,0.54,1
M009,90.39606848,2.485063223,5.092272651,51.42379371,149,2600,60,0.51,2
M005,81.98249914,1.197760791,4.874970772,61.05858561,101,4978,67,0.45,1
M009,84.83082705,2.665733361,5.042194097,74.40083925,71,1445,55,0.55,2
M005,41.48389483,1.679531907,4.936541098,63.5542317,128,2832,69,0.35,3
M001,72.86864663,2.709446932,5.291721489,50.357257,89,1422,55,0.47,2
M002,81.18484513,2.105373188,5.12698398,83.93628676,77,2544,93,0.5,2
M006,79.60419729,1.383802389,4.317781964,82.35383894,99,561,60,0.5,2
M008,80.02789721,3.574267613,4.691432412,59.85031168,35,1940,94,0.51,2
M008,77.51787707,2.184217624,5.179539149,58.00251283,95,4912,98,0.44,1
M004,78.21052333,4.487130971,4.824777258,68.86025877,93,3598,97,0.55,2
M008,66.32,0.765072368,4.648439473,66.53248721,115,3408,92,0.37,3
M004,64.32983414,1.623615267,5.679943773,68.70939063,57,3924,97,0.4,3
M001,83.64744692,3.581826151,4.090723233,67.08136151,42,4946,93,0.54,1
M002,72.20891525,2.268515014,5.060523475,80.3382965,58,4974,89,0.48,1
M006,72.59088755,1.668118757,5.381670812,67.2099472,114,567,90,0.43,2
M009,67.22081187,3.542360462,4.707062087,53.99192429,37,1294,78,0.47,2
M001,65.56616951,2.75425828,4.075147927,70.22196497,61,1249,97,0.45,2
M006,69.11961422,2.433467847,5.223931664,88.89610005,46,1097,83,0.5,2
M004,90.67353002,1.37152637,4.844720955,73.66649812,45,4409,97,0.48,1
M003,61.46440144,1.521190789,5.256839588,64.87055831,129,2510,60,0.41,2
M006,78.2679891,3.562016177,5.549076514,82.02929229,71,1628,55,0.59,2
M006,69.59677817,3.626296559,5.06753594,71.68047169,44,1377,96,0.5,2
M008,61.4259704,2.01131237,4.869615077,69.5098083,87,1016,51,0.45,2
M001,84.26244322,2.115761982,4.744160721,70.46439728,96,2189,67,0.51,2
M006,76.84813271,3.69409525,4.91630433,63.60934391,56,2357,85,0.52,2
M005,75.86072865,4.351165942,5.41724636,81.04936977,82,745,84,0.58,2
M008,70.35778903,3.501468626,3.953280522,69.16960564,58,2670,61,0.53,2
